,Hardware,Name,Price,SKU,Info,Image
41,Motherboard,Z490 AORUS Xtreme Intel LGA 1200 eATX Motherboard,799.99,117960,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/624109_117960_01_front_thumbnail.jpg
42,Motherboard,Z490-H ROG Strix Gaming Intel LGA 1200 ATX Motherboard,219.99,144634,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/624074_144634_01_front_thumbnail.jpg
43,Motherboard,X299-A II Prime Intel LGA 2066 ATX Motherboard,299.99,030841,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/613830_030841_01_front_thumbnail.jpg
44,Motherboard,Z490-G ROG Strix Gaming (WIFI) Intel LGA 1200 mATX Motherboard,239.99,144600,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/624073_144600_01_front_thumbnail.jpg
45,Motherboard,Z490 FTW WiFi Intel LGA 1200 ATX Motherboard,329.99,167585,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/627788_167585_01_front_thumbnail.jpg
46,Motherboard,Z490 MPG Gaming Carbon WiFi Intel LGA 1200 ATX Motherboard,269.99,112318,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623783_112318_01_front_thumbnail.jpg
47,Motherboard,Z490 MEG ACE Intel LGA 1200 ATX Motherboard,399.99,112383,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623781_112383_01_front_thumbnail.jpg
48,Motherboard,Z490 AORUS Elite Intel LGA 1200 ATX Motherboard,199.99,115360,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623887_115360_01_front_thumbnail.jpg
49,Motherboard,Z490 MPG Gaming Plus Intel LGA 1200 ATX Motherboard,169.99,112789,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623792_112789_01_front_thumbnail.jpg
50,Motherboard,Z490 AORUS Elite Intel LGA 1200 ATX Motherboard,189.99,114157,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623874_114157_01_front_thumbnail.jpg
51,Motherboard,Z390 Aorus Pro WiFi Intel LGA 1151 ATX Motherboard,179.99,833475,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512584_833475_01_front_thumbnail.jpg
52,Motherboard,Z390-A Prime Intel LGA 1151 ATX Motherboard,169.99,826610,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512012_826610_01_front_thumbnail.jpg
53,Motherboard,Z390-A Pro Intel LGA 1151 ATX Motherboard,129.99,832923,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512751_832923_01_front_thumbnail.jpg
54,Motherboard,Z390 MPG Gaming Edge AC Intel LGA 1151 ATX Motherboard,189.99,833400,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512749_833400_01_front_thumbnail.jpg
55,Motherboard,Z390-P Prime Intel LGA 1151 ATX Motherboard,134.99,826602,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512014_826602_01_front_thumbnail.jpg
56,Motherboard,B365 Ultra Durable Intel LGA 1151 mATX Motherboard,74.99,046664,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/616235_046664_01_front_thumbnail.jpg
57,Motherboard,B365M-A PRIME Intel LGA 1151 mATX Motherboard,79.99,146811,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626261_146811_01_front_thumbnail.jpg
